Year,Employment,Median_Wage,AI_Popularity
2015,205890.0,43400.188679245286,0.4791666666666667
2016,212110.0,44008.11320754717,0.4375
2017,211330.0,44803.96226415094,0.5555555555555556
2018,219070.0,46347.35849056604,0.611111111111111
2019,216990.0,47972.83018867925,0.5833333333333334
2020,202290.0,49450.188679245286,0.8958333333333334
2021,205050.0,49571.1320754717,1.4166666666666667
2022,213050.0,52632.45283018868,14.219696969696969
2023,214060.0,53456.981132075474,61.375
2024,215560.0,56105.84905660377,78.75
